,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
0,2007-05-01,83,51,67,14,51,56,0,2,448,1849,set(),0.0,29.14,29.82,2.2,26,9.4
1,2007-05-02,59,42,51,-2,42,47,13,0,447,1850,"{'BR', 'HZ'}",0.0,29.41,30.08,13.15,3,13.4
2,2007-05-03,66,47,57,3,40,49,8,0,446,1851,{'HZ'},0.0,29.42,30.12,12.3,6,12.55
3,2007-05-04,72,50,61,7,41,50,4,0,444,1852,{'RA'},0.0,29.34,30.04,10.25,7,10.6
4,2007-05-05,66,53,60,5,38,49,5,0,443,1853,set(),0.01,29.43,30.1,11.45,7,11.75
5,2007-05-06,68,50,59,4,30,46,5,0,442,1855,set(),0.0,29.6,30.28,14.1,10,14.75
6,2007-05-07,83,48,66,11,40,53,0,1,441,1856,{'RA'},0.0,29.41,30.12,8.55,17,10.2
7,2007-05-08,81,57,69,13,57,62,0,4,439,1857,"{'BR', 'HZ'}",0.0,29.32,30.02,2.6,9,5.6
8,2007-05-09,76,62,69,13,59,63,0,4,438,1858,"{'BR', 'HZ'}",0.08,29.24,29.94,3.9,8,6.05
9,2007-05-10,83,57,70,14,52,60,0,5,437,1859,"{'BR', 'HZ'}",0.0,29.23,29.92,1.35,13,4.0
10,2007-05-11,71,50,61,4,43,51,4,0,436,1860,set(),0.0,29.36,30.04,11.5,19,12.85
11,2007-05-12,64,46,55,-1,36,46,9,0,435,1901,set(),0.0,29.52,30.2,12.55,2,12.95
12,2007-05-13,69,43,56,-1,32,46,8,0,434,1902,set(),0.0,29.52,30.24,6.5,12,7.85
13,2007-05-14,90,55,72,14,46,58,0,7,433,1903,set(),0.0,29.27,29.98,15.5,21,15.95
14,2007-05-15,81,56,69,11,56,61,0,4,432,1904,"{'RA', 'BR', 'TS'}",0.49,29.16,29.84,8.1,26,11.55
15,2007-05-16,65,44,55,-4,42,47,10,0,431,1905,"{'BR', 'RA'}",0.11,29.36,30.03,7.9,36,12.0
16,2007-05-17,61,43,53,-6,32,43,12,0,430,1906,set(),0.0,29.58,30.27,11.1,2,11.75
17,2007-05-18,70,42,57,-3,30,46,8,0,429,1907,set(),0.0,29.56,30.26,4.4,23,6.5
18,2007-05-19,80,56,68,8,38,53,0,3,428,1908,set(),0.0,29.38,30.08,11.1,23,11.4
19,2007-05-20,69,43,56,-4,40,44,8,0,427,1909,"{'RA', 'VC', 'TS'}",0.09,29.41,30.11,9.5,3,10.2
20,2007-05-21,79,45,62,1,50,56,2,0,426,1910,set(),0.0,29.36,30.06,6.3,10,8.0
21,2007-05-22,87,57,72,11,45,58,0,7,425,1911,set(),0.0,29.38,30.06,10.05,17,10.4
22,2007-05-23,89,63,76,15,48,61,0,11,425,1912,set(),0.0,29.43,30.1,11.15,18,11.5
23,2007-05-24,88,64,76,14,53,63,0,11,424,1913,"{'RA', 'HZ'}",0.02,29.44,30.1,14.35,20,16.25
24,2007-05-25,68,56,62,0,45,53,2,0,423,1914,"{'BR', 'RA'}",0.05,29.54,30.24,4.7,5,8.5
25,2007-05-26,67,49,58,-3,55,56,6,0,422,1915,"{'RA', 'BR', 'TS', 'HZ'}",0.64,29.39,30.1,2.65,16,7.5
26,2007-05-27,75,58,66,4,48,56,0,1,422,1916,"{'BR', 'RA'}",0.06,29.38,30.06,8.55,25,9.35
27,2007-05-28,77,52,65,2,48,56,0,0,421,1916,{'RA'},0.0,29.46,30.14,4.75,9,5.25
28,2007-05-29,88,62,75,11,58,65,0,10,421,1917,"{'BR', 'HZ'}",0.0,29.42,30.1,5.8,17,6.95
29,2007-05-30,88,68,78,14,57,65,0,13,420,1918,{'HZ'},0.0,29.34,30.04,10.0,18,10.35
30,2007-05-31,79,66,73,9,61,65,0,8,420,1919,"{'BR', 'RA', 'HZ'}",0.27,29.31,29.99,9.1,18,9.55
31,2007-06-01,85,64,75,11,63,66,0,10,419,1920,"{'HZ', 'RA', 'BR', 'TS'}",0.2,29.22,29.9,4.45,16,6.1
