,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,MI,DZ,FU,FG,BC,FG+,TS,SN,HZ,SQ,BR,RA,GR,VC,rel_humid,tavg_change,tavg_lag5,tavg_lag14,tavg_lag28,rel_humid_lag5,rel_humid_lag14,rel_humid_lag28,avgspeed_lag5,avgspeed_lag14,avgspeed_lag28,preciptotal_lag5,preciptotal_lag14,preciptotal_lag28
0,2007-05-01,83,51,67,14,51,56,0,2,448,1849,0.0,29.14,29.82,2.2,26,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.23257273501592,,,,,,,,,,,,,
1,2007-05-02,59,42,51,-2,42,47,13,0,447,1850,0.0,29.41,30.08,13.15,3,13.4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,53.715177360980334,,,,,,,,,,,,,
2,2007-05-03,66,47,57,3,40,49,8,0,446,1851,0.0,29.42,30.12,12.3,6,12.55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33.250172358321464,,,,,,,,,,,,,
3,2007-05-04,72,50,61,7,41,50,4,0,444,1852,0.0,29.34,30.04,10.25,7,10.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32.45762591259055,,,,,,,,,,,,,
4,2007-05-05,66,53,60,5,38,49,5,0,443,1853,0.01,29.43,30.1,11.45,7,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.51696910929491,,59.2,,,39.63450349524064,,,11.540000000000001,,,0.002,,
5,2007-05-06,68,50,59,4,30,46,5,0,442,1855,0.0,29.6,30.28,14.1,10,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.912687585266031,,57.6,,,26.805451431184245,,,12.610000000000001,,,0.002,,
6,2007-05-07,83,48,66,11,40,53,0,1,441,1856,0.0,29.41,30.12,8.55,17,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24.935314935828643,,60.6,,,21.049478946153908,,,11.97,,,0.002,,
7,2007-05-08,81,57,69,13,57,62,0,4,439,1857,0.0,29.32,30.02,2.6,9,5.6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,69.36084135624101,2.0,63.0,,,28.271612745737816,,,10.58,,,0.002,,
8,2007-05-09,76,62,69,13,59,63,0,4,438,1858,0.08,29.24,29.94,3.9,8,6.05,0,0,0,0,0,0,0,0,1,0,1,0,0,0,74.5798116785037,18.0,64.6,,,36.69604989892044,,,9.669999999999998,,,0.018,,
9,2007-05-10,83,57,70,14,52,60,0,5,437,1859,0.0,29.23,29.92,1.35,13,4.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,54.75030780422002,13.0,66.6,,,43.14271763790547,,,8.12,,,0.016,,
10,2007-05-11,71,50,61,4,43,51,4,0,436,1860,0.0,29.36,30.04,11.5,19,12.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.48934602858793,0.0,67.0,,,52.623124360676265,,,7.739999999999999,,,0.016,,
11,2007-05-12,64,46,55,-1,36,46,9,0,435,1901,0.0,29.52,30.2,12.55,2,12.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15772542359891,-5.0,64.8,,,51.267606458230304,,,8.290000000000001,,,0.016,,
12,2007-05-13,69,43,56,-1,32,46,8,0,434,1902,0.0,29.52,30.24,6.5,12,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.0,62.2,,,37.39543818698211,,,8.739999999999998,,,0.016,,
13,2007-05-14,90,55,72,14,46,58,0,7,433,1903,0.0,29.27,29.98,15.5,21,15.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06283719454142,6.0,62.8,62.357142857142854,,29.892043290189655,36.3282867366042,,10.72,10.564285714285715,,0.0,0.0064285714285714285,
14,2007-05-15,81,56,69,11,56,61,0,4,432,1904,0.49,29.16,29.84,8.1,26,11.55,0,0,0,0,0,0,1,0,0,0,1,1,0,0,66.73400358730854,0.0,62.6,62.5,,32.28878244680736,37.07838894033939,,12.23,10.717857142857142,,0.098,0.041428571428571426,
15,2007-05-16,65,44,55,-4,42,47,10,0,431,1905,0.11,29.36,30.03,7.9,36,12.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,44.77125028097654,-14.0,61.4,62.785714285714285,,33.34516329728508,36.439537006053406,,12.059999999999999,10.617857142857142,,0.12,0.04928571428571428,
16,2007-05-17,61,43,53,-6,32,43,12,0,430,1906,0.0,29.58,30.27,11.1,2,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-17.0,61.0,62.5,,29.7136182125653,34.064524694744726,,11.819999999999999,10.560714285714285,,0.12,0.04928571428571428,
17,2007-05-18,70,42,57,-3,30,46,8,0,429,1907,0.0,29.56,30.26,4.4,23,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.50806793056405,-4.0,61.2,62.214285714285715,,28.012004626452487,31.138403705947972,,11.55,10.267857142857142,,0.12,0.04928571428571428,
18,2007-05-19,80,56,68,8,38,53,0,3,428,1908,0.0,29.38,30.08,11.1,23,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.82102784319158,13.0,60.4,62.785714285714285,,24.16364275618252,30.802979329797733,,10.64,10.242857142857144,,0.12,0.048571428571428564,
19,2007-05-20,69,43,56,-4,40,44,8,0,427,1909,0.09,29.41,30.11,9.5,3,10.2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,34.558992508158305,0.0,57.8,62.57142857142857,,17.728640540352476,33.83667076504232,,10.370000000000001,9.917857142857144,,0.04,0.05499999999999999,
20,2007-05-21,79,45,62,1,50,56,2,0,426,1910,0.0,29.36,30.06,6.3,10,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.61746866154467,-10.0,59.2,62.285714285714285,,21.097884216466102,36.45682460259347,,9.57,9.760714285714284,,0.018,0.05499999999999999,
21,2007-05-22,87,57,72,11,45,58,0,7,425,1911,0.0,29.38,30.06,10.05,17,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.49368382787295,3.0,63.0,62.5,,27.99662098204069,33.966313350567184,,9.3,10.103571428571428,,0.018,0.05499999999999999,
22,2007-05-23,89,63,76,15,48,61,0,11,425,1912,0.0,29.43,30.1,11.15,18,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.66128906522463,21.0,66.8,63.0,,37.43049238119843,31.40070459247582,,10.3,10.492857142857142,,0.018,0.04928571428571428,
23,2007-05-24,88,64,76,14,53,63,0,11,424,1913,0.02,29.44,30.1,14.35,20,16.25,0,0,0,0,0,0,0,0,1,0,0,1,0,0,50.17679134361423,23.0,68.4,63.42857142857143,,43.90164508128296,31.07402484528969,,11.27,11.367857142857142,,0.022,0.05071428571428571,
24,2007-05-25,68,56,62,0,45,53,2,0,423,1914,0.05,29.54,30.24,4.7,5,8.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,45.00704321352296,5.0,69.6,63.5,,45.99125522235589,31.46814607278505,,10.93,11.057142857142855,,0.014000000000000002,0.054285714285714284,
25,2007-05-26,67,49,58,-3,55,56,6,0,422,1915,0.64,29.39,30.1,2.65,16,7.5,0,0,0,0,0,0,1,0,1,0,1,1,0,0,89.05109863256222,-10.0,68.8,63.714285714285715,,51.4779812165594,36.531958444853856,,10.83,10.667857142857143,,0.142,0.09999999999999999,
26,2007-05-27,75,58,66,4,48,56,0,1,422,1916,0.06,29.38,30.06,8.55,25,9.35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,48.97031611308605,10.0,67.6,64.42857142857143,,54.373307673602014,40.02983816721714,,10.620000000000001,10.775,,0.154,0.10428571428571429,
27,2007-05-28,77,52,65,2,48,56,0,0,421,1916,0.0,29.46,30.14,4.75,9,5.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50.344853052800886,3.0,65.4,63.92857142857143,63.142857142857146,56.710020471117275,40.97855358566425,38.65342016113423,9.370000000000001,10.010714285714284,10.2875,0.154,0.10428571428571429,0.05535714285714286
28,2007-05-29,88,62,75,11,58,65,0,10,421,1917,0.0,29.42,30.1,5.8,17,6.95,0,0,0,0,0,0,0,0,1,0,1,0,0,0,62.73352554937074,3.0,65.2,64.35714285714286,63.42857142857143,59.22136731226857,40.69280515438298,38.88559704736118,7.51,9.682142857142859,10.200000000000001,0.15,0.06928571428571428,0.05535714285714286
29,2007-05-30,88,68,78,14,57,65,0,13,420,1918,0.0,29.34,30.04,10.0,18,10.35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,56.87205386557837,2.0,68.4,66.0,64.39285714285714,61.59436944267966,41.55714826756883,38.99834263681111,7.88,9.564285714285713,10.091071428571427,0.13999999999999999,0.06142857142857144,0.05535714285714286
30,2007-05-31,79,66,73,9,61,65,0,8,420,1919,0.27,29.31,29.99,9.1,18,9.55,0,0,0,0,0,0,0,0,1,0,1,1,0,0,72.59249674094495,-3.0,71.4,67.42857142857143,64.96428571428571,58.3026490643562,46.74232660620775,40.403425650476244,8.290000000000001,9.407142857142857,9.983928571428569,0.06600000000000003,0.08071428571428572,0.065
31,2007-06-01,85,64,75,11,63,66,0,10,419,1920,0.2,29.22,29.9,4.45,16,6.1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,73.98134621183125,13.0,73.2,68.71428571428571,65.46428571428571,63.30485508410525,52.634427616378844,41.886415661163404,7.639999999999999,9.378571428571428,9.823214285714286,0.09400000000000003,0.095,0.07214285714285715
32,2007-06-02,81,66,74,10,62,67,0,9,419,1920,0.02,29.06,29.76,7.0,21,7.8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,73.30358314739468,16.0,75.0,69.14285714285714,65.96428571428571,67.896601103024,56.59746728096478,43.70022330538125,8.15,9.121428571428572,9.682142857142859,0.09800000000000003,0.09642857142857143,0.07250000000000001
33,2007-06-03,77,63,70,6,60,63,0,5,418,1921,0.16,28.84,29.55,5.05,24,6.95,0,0,0,0,0,0,1,0,1,0,1,1,0,1,75.30314559083035,4.0,74.0,70.14285714285714,66.35714285714286,70.41052511131593,59.50776392972706,46.67221734738469,8.15,8.889285714285714,9.403571428571428,0.13000000000000003,0.10142857142857142,0.07821428571428572
34,2007-06-04,71,57,64,0,57,60,0,0,418,1922,0.35,28.85,29.52,7.85,30,9.9,0,0,0,0,0,0,1,0,0,0,1,1,0,0,79.33452581058967,-1.0,71.2,70.28571428571429,66.28571428571429,74.9030195003182,60.773268011801704,48.615046307197595,8.059999999999999,9.025,9.392857142857142,0.2,0.12642857142857142,0.09071428571428572
35,2007-06-05,63,49,56,-8,47,51,8,0,417,1923,0.34,29.13,29.78,5.7,4,7.85,0,0,0,0,0,0,0,0,0,0,1,1,0,0,63.77222146831322,-19.0,67.8,69.14285714285714,65.82142857142857,73.13896444579184,62.864592128976014,48.415452739771595,7.720000000000001,8.842857142857143,9.473214285714283,0.21400000000000002,0.15071428571428572,0.10285714285714287
36,2007-06-06,72,46,59,-6,47,55,5,0,417,1923,0.01,29.1,29.82,10.2,16,11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57.06337359207492,-19.0,64.6,67.92857142857143,65.46428571428571,69.75536992184058,64.17902673803675,47.78986566525628,8.7,8.807142857142857,9.65,0.17600000000000002,0.15142857142857144,0.10035714285714285
37,2007-06-07,91,71,81,15,61,68,0,16,417,1924,0.0,28.88,29.55,21.5,19,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.77865191764433,8.0,66.0,68.28571428571429,65.85714285714286,67.45038367589049,65.00773106475319,48.04087795502143,11.52,9.210714285714285,10.289285714285715,0.17200000000000001,0.15,0.10035714285714285
38,2007-06-08,81,60,70,4,53,61,0,5,417,1925,0.0,29.21,29.84,10.1,27,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.35954224831056,-5.0,66.0,68.85714285714286,66.17857142857143,63.86166300738654,65.89005242438087,48.679099248582965,12.75,9.539285714285715,10.298214285714284,0.14,0.14642857142857144,0.10035714285714285
39,2007-06-09,79,54,67,1,48,57,0,2,416,1925,0.0,29.39,30.06,1.35,26,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.674324141354894,-7.0,66.6,69.5,66.60714285714286,57.529622673539585,62.93456853215178,49.733263488502814,11.74,9.35,10.008928571428571,0.07000000000000003,0.10071428571428571,0.10035714285714285
40,2007-06-10,81,58,69,2,50,59,0,4,416,1926,0.0,29.36,30.04,4.7,16,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.72512868711816,-1.0,69.2,69.71428571428571,67.07142857142857,54.92020411730058,63.05991228743978,51.54487522732847,11.309999999999999,9.089285714285714,9.932142857142855,0.002000000000000022,0.09642857142857142,0.10035714285714285
41,2007-06-11,85,61,73,6,51,61,0,8,416,1926,0.0,29.44,30.1,5.75,10,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.626647874942456,9.0,72.0,70.28571428571429,67.10714285714286,53.23285897387408,62.93718334616418,51.95786846591422,10.639999999999999,9.260714285714286,9.635714285714286,2.2204460492503132e-17,0.09642857142857142,0.10035714285714285
42,2007-06-12,82,64,73,5,50,60,0,8,416,1927,0.0,29.46,30.15,8.85,5,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.17084019606875,17.0,70.4,70.14285714285714,67.25,50.111296629558964,61.754134392356896,51.223469773369935,8.14,9.435714285714285,9.55892857142857,2.2204460492503132e-17,0.09642857142857142,0.08285714285714285
43,2007-06-13,86,64,75,7,53,62,0,10,416,1927,0.0,29.39,30.08,7.1,5,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.23471589546873,16.0,71.4,69.92857142857143,67.96428571428571,48.8863313589906,61.35146739449192,51.454307831030384,7.239999999999999,9.310714285714285,9.4375,2.2204460492503132e-17,0.09642857142857142,0.07892857142857143
